Question_ID,Title,Result,Detail
1,Average gap (pts / %),+15.9 pts / +0.074%,Median: +22.7 pts | Gap-up: 61.8% | Gap-down: 38.0% | Flat (<5pts): 6.7%
2,Gap >0.7%: Run vs Fade,Run 32.7% / Fade 67.3%,n=52 days with gap >0.7%
3,Open = Day High or Low,Exact: High 2.7% / Low 1.7%,Near (5%): High 11.5% / Low 5.9%
4,Gap-up filled in 60 mins,53.0%,n=443 gap-up days analysed
5,After gap fill: reversal at PDC,46.8%,n=235 filled days
6,Flat open (<0.1%) day range,Avg range 194 pts vs 211 pts (non-flat),n=181 flat days
7,Gap-and-Go: Expiry vs Non-expiry,Expiry 82.1% / Non-expiry 83.6%,Expiry n=149 | Non-expiry n=599
8,Avg time to fill 50-pt gap (mins),86 mins,n=173 events | median 33 mins
9,Gap-down Friday → short covering by 3pm,44.6%,n=65 gap-down Fridays
10,Open > PDH: Odds of touching PDC,51.0%,n=196 gap-above-PDH days
11,Highest avg range window,W1,W1=142.5 W2=92.8 W3=104.6 pts
13,Day High formed in W3,36.3%,n=749 days
14,Day Low formed in W1,52.1%,n=748 days
15,W3 reverses W1 trend,49.1%,n=748 days
17,W1+W2 inside → W3 breakout,59.1%,n=237 inside days
18,Lunch hour (12:00-13:30) avg range,78.0 pts,Median 61.2 pts | Max 846.0 pts
19,Trend from 1:30 continues to 3:30,83.4%,n=748 days
20,Trending W1 → mean-reverting W2,42.9%,n=436 trending-W1 days
21,Current ADR (5/10/20-day),5d=345  10d=335  20d=295 pts,Based on last available day in dataset
22,Hits 80% ADR by 11am → reversal,nan%,n=0 events
24,Expansion ratio (range / 5-day ADR),Avg=1.01x | Median=0.96x,>1.5x on 70 days | <0.5x on 36 days
25,Days/month exceeding 1.5x ADR,Avg 1.8 days/month,Max 5 | Min 0
26,15-min range >40pts → Trend Day,85.0%,n=694 days with big 15-min opening
27,Neutral Day (stays in 1st hour H/L),35.6%,n=748 days
28,Small range day → Big range tomorrow,22.2%,n=36 small days | 8 followed by big
29,Nifty vs BankNifty range correlation,r=0.830 (p=0.0000),n=749 common days
30,ADR on event weeks (RBI/Budget),Requires external event calendar,Add event_dates list to CONFIG to enable this check
31,Support found at PDL,30.6% of times PDL tested,PDL tested 444 days | held 136 times
32,PDH breakout holds >30 mins,79.5%,n=404 PDH breakout days
